Orthogroup	Solanum_lycopersicum	Brassica_napus
OG0000109	Solyc05T000628.1, Solyc10T000803.1, Solyc10T000796.1, Solyc11T001139.1, Solyc12T001034.1, Solyc10T000806.1, Solyc09T001491.1, Solyc03T000902.1, Solyc11T001143.1, Solyc11T001247.1, Solyc05T002053.1, Solyc05T002057.1, Solyc03T000107.1, Solyc03T000108.1, Solyc09T001265.1, Solyc05T000632.1, Solyc05T002051.1, Solyc05T000631.1	CDY49691, CDY45714, CDY49689, CDY33119, CDY54152, CDY45713, CDY55733, CDY33116, CDY66020, CDY54154, CDY54153, CDY67730, CDY04166, CDY58630, CDY49690
OG0000109	Solyc05T002056.1	CDY68550, CDY04207
OG0000113	Solyc04T001692.1, Solyc11T000545.1, Solyc10T001724.1, Solyc04T001702.1, Solyc04T001704.1, Solyc04T001696.1, Solyc04T001703.1, Solyc04T001698.1, Solyc04T001700.1, Solyc04T001689.1, Solyc11T000548.3, Solyc10T001723.1, Solyc10T001726.1, Solyc10T001720.1, Solyc10T001722.1	CDY48342, CDX90195, CDY35303, CDY35305, CDX90192, CDX90194, CDX99823, CDY48341, CDX90193, CDX88114, CDY35304, CDY48337, CDX99824, CDX99830
OG0000122	Solyc09T001600.1	CDY59150
OG0000135	Solyc03T001316.1, Solyc10T000874.1, Solyc01T001280.1, Solyc08T000639.1, Solyc08T000628.1, Solyc04T001176.2, Solyc07T001191.1, Solyc04T001122.1, Solyc12T000931.1, Solyc04T000954.1, Solyc05T001519.1, Solyc04T001325.1, Solyc03T001067.1, Solyc03T001068.1, Solyc12T000873.1, Solyc03T001065.1, Solyc04T001121.1, Solyc01T001012.1, Solyc01T000877.1, Solyc10T001433.1, Solyc10T001560.1, Solyc10T001565.1, Solyc10T001493.1, Solyc11T000827.1, Solyc04T000877.2, Solyc01T001512.1, Solyc10T001569.1, Solyc10T001575.1, Solyc08T000748.1, Solyc04T001177.1, Solyc10T001564.1, Solyc10T000962.1, Solyc07T000830.1, Solyc09T000949.1, Solyc05T001248.1, Solyc05T001247.1, Solyc11T001437.1, Solyc10T001434.1, Solyc03T001317.1, Solyc10T000491.1, Solyc12T002066.1	CDY22247, CDX94656, CDX99842
OG0000138	Solyc01T002810.1, Solyc11T002410.1, Solyc11T001620.1, Solyc10T000590.1	CDY15148, CDX90062, CDY56927, CDX89104, CDY48937, CDX71758
OG0000139	Solyc03T001598.1, Solyc03T001597.1	CDY01013, CDY08534, CDX70120, CDX98873
OG0000139	Solyc10T002809.4, Solyc10T002771.1	CDX99101, CDY03340, CDY33200, CDX68393, CDX82989, CDX99103, CDY61257, CDY21781, CDX88710, CDY53452, CDY48677, CDY33048, CDX80255, CDX68395, CDX82992, CDX86090, CDX99100, CDY61260, CDX99102, CDY68357, CDX81946
OG0000140	Solyc02T001396.1	CDY43965
OG0000140	Solyc03T002527.1	CDX71027
