Orthogroup	Solanum_lycopersicum	Brassica_napus
OG0001493	Solyc01T003881.1, Solyc12T002379.2, Solyc04T002561.1	CDY28322, CDY49376, CDY03205, CDX72429, CDX75383, CDX69008
OG0001494	Solyc09T002476.1, Solyc09T002049.1, Solyc06T002724.1	CDY32936, CDY10750, CDY47128, CDY23987, CDX84823, CDX97804, CDY29656
OG0001495	Solyc09T001979.3, Solyc09T002375.1, Solyc06T001159.1	CDY60962, CDY15360, CDY15542, CDX86576, CDY10113, CDY47282
OG0001496	Solyc06T002613.1, Solyc08T000543.1	CDY22065, CDY21899, CDX97279, CDX91294
OG0001497	Solyc02T001791.1	CDY28744, CDY43144
OG0001498	Solyc01T002772.1, Solyc08T000285.1, Solyc12T002236.2, Solyc08T002281.1	CDY64893, CDY66560, CDY45470, CDY13281, CDX86744, CDY41259, CDY10843
OG0001499	Solyc06T001084.1, Solyc03T001666.2	CDX93817, CDY01240
OG0001500	Solyc11T000363.1	CDY39279, CDY07455
OG0001500	Solyc12T002608.2, Solyc12T000893.1, Solyc08T000476.2	CDY47263, CDY10132
OG0001501	Solyc04T002175.1	CDX72819, CDX96336, CDY53822, CDX75096, CDY48908
OG0001503	Solyc11T000128.1, Solyc11T000127.1, Solyc11T000126.1	CDX70668, CDX78668, CDX69482, CDY26484, CDX85520, CDY38137
OG0001505	Solyc11T000017.2	CDX89762
OG0001506	Solyc02T001265.1	CDX70378, CDX98793, CDX70190, CDX98165
OG0001506	Solyc02T001091.1	CDX70379, CDX69787, CDX97078, CDX78409
OG0001507	Solyc06T001078.1	CDX69779, CDY68539
OG0001507	Solyc03T002934.1	CDY36551, CDY39637, CDY67940, CDX83982, CDX96845
OG0001508	Solyc06T002245.1, Solyc10T002558.1, Solyc01T000148.3	CDY16614, CDY59006, CDY09115, CDX88817, CDX70974
OG0001509	Solyc07T002220.1, Solyc10T000301.1	CDY49242, CDX71936, CDY00580, CDX88997
OG0001510	Solyc07T002573.1	CDY27569, CDY53614, CDY56260, CDY19614
OG0001511	Solyc12T001845.1, Solyc03T003103.1, Solyc06T001809.1	CDX78288, CDX70027, CDX98982, CDY14051, CDY55173, CDY53152, CDY71587
OG0001512	Solyc06T000364.1, Solyc11T002280.1, Solyc03T002004.1, Solyc04T001288.3	CDY57371, CDY12904, CDY03836, CDY26348, CDY15021, CDY47582
OG0001513	Solyc03T000780.1, Solyc02T002820.1	CDX81326, CDY18646, CDX83114, CDX68575
OG0001513	Solyc04T002625.1	CDY43846, CDY25663
OG0001514	Solyc11T002561.1	CDY58836, CDY58835, CDY66950, CDX93620, CDY68412, CDY31720, CDX77194, CDY04576, CDY15765
OG0001515	Solyc07T000251.1, Solyc08T000997.1, Solyc06T001614.1	CDY38510, CDX83226, CDY58928, CDY11535, CDX75218, CDX68815
OG0001516	Solyc03T002957.1	CDX75854, CDY20165, CDY21885
OG0001516	Solyc08T000802.1	CDY13475, CDX72346, CDX68823, CDX75225
OG0001517	Solyc09T000432.1, Solyc01T000367.1, Solyc06T002281.1	CDY06310, CDY22687, CDY54494, CDY46732, CDY46730, CDY31155, CDY68717, CDX95065, CDX93567
OG0001518	Solyc11T002221.1, Solyc09T000419.1	CDY30939, CDY21229, CDY47305, CDY08693, CDY71306, CDX92354, CDY09134, CDX88798, CDY68831
OG0001520	Solyc03T002392.1, Solyc02T002905.1, Solyc02T001055.1	CDX68466, CDY53329, CDY56888, CDY37923, CDY45734, CDY30747
OG0001521	Solyc01T002327.1	CDY69589, CDY64362
OG0001521	Solyc01T000072.1	CDY02452, CDY54411, CDY24046
OG0001523	Solyc02T000523.1	CDY23217, CDY67344, CDY69054, CDY68190, CDY29081, CDX90603, CDX78091, CDX73637, CDY69355, CDX78092, CDY67343, CDY23216
OG0001524	Solyc11T000885.1	CDY31349, CDY43756, CDX84445, CDY39845
OG0001525	Solyc09T000443.1	CDY04858
OG0001525	Solyc11T002582.1, Solyc11T002583.1, Solyc01T003281.1	CDY19730
OG0001526	Solyc02T000499.1, Solyc02T001733.1, Solyc07T001949.1, Solyc12T000083.1	CDY39494, CDY19294, CDY33129
OG0001527	Solyc06T002380.1, Solyc03T000779.1, Solyc06T002376.2, Solyc06T002377.1, Solyc06T002378.1, Solyc11T002495.1	CDY04569, CDY15753
OG0001528	Solyc02T002634.1, Solyc04T002654.1	CDY17052, CDX83555, CDY66810, CDY72183, CDY18096, CDY29514, CDY17105, CDY06769
OG0001529	Solyc12T000358.1	CDY45209, CDY36219, CDY30785, CDY34078, CDY25050, CDY39897, CDY29145, CDY71315, CDY39901, CDY29148
OG0001530	Solyc02T002694.1, Solyc03T000724.1, Solyc02T000831.1	CDY08768, CDY45606, CDY18680, CDX81294, CDY71608, CDY52533, CDY37836
OG0001531	Solyc12T001686.1	CDX85758, CDY40099
OG0001532	Solyc04T002795.1, Solyc12T002452.1, Solyc01T004145.1	CDY37257, CDY64803, CDY45414, CDX73147, CDX68143, CDX85880
OG0001533	Solyc05T000504.1, Solyc03T003277.1	CDX73030
OG0001533	Solyc05T000705.1, Solyc05T000706.1	CDY40255, CDY20563, CDY16169, CDX85030, CDY61624, CDY24138
OG0001534	Solyc05T002066.1	CDY37992, CDX90013, CDY32442, CDY68292, CDY15197
OG0001534	Solyc02T000253.1	CDX98191, CDX77603, CDY26276, CDY63182, CDX90240
OG0001535	Solyc01T004208.3	CDX75452, CDX69077
OG0001535	Solyc08T001748.1	CDY12310, CDY27149, CDY12418
OG0001537	Solyc03T002231.1	CDX80381, CDX88043
OG0001537	Solyc03T000535.3	CDY54365, CDY29183
OG0001539	Solyc03T002882.1, Solyc06T001921.2	CDY61272, CDY47401, CDX77863, CDY21792
OG0001539	Solyc01T000508.1	CDY03025, CDY45188
OG0001540	Solyc05T000770.1, Solyc01T000515.1, Solyc04T000063.1	CDY62212, CDX96872, CDY33785, CDY16125, CDX95934, CDY40925
OG0001541	Solyc03T003184.1, Solyc03T003185.1	CDY18502, CDX95540, CDX95549, CDY36627, CDY24433, CDX92210, CDX92211, CDY24435
OG0001542	Solyc08T001593.1	CDY62422, CDX80530, CDX87078, CDY19798, CDY05502, CDY54895
OG0001543	Solyc11T001617.1	CDX92381
OG0001543	Solyc11T002458.1, Solyc11T000149.1, Solyc05T002633.1	CDY54959, CDY70858, CDY71450
OG0001544	Solyc03T003510.1, Solyc12T000331.1, Solyc05T001576.2	CDY45073, CDX92443, CDY16555, CDY12339, CDY20366, CDY28610
OG0001545	Solyc03T002169.1, Solyc06T002123.1	CDX78704, CDX70709, CDY16984, CDX69425, CDY51521, CDY28721, CDY58552, CDY65443, CDX70625
OG0001546	Solyc03T002082.1, Solyc05T002400.1	CDY02958, CDX76074, CDX72205, CDY27268, CDY49119, CDY42422, CDX85822, CDX68191, CDX96529, CDX73072
OG0001547	Solyc05T000002.1	CDY03739, CDY09455, CDY41450, CDX91710
OG0001547	Solyc06T002000.1, Solyc03T002519.1	CDY37754
OG0001548	Solyc09T002787.1, Solyc12T002697.1	CDY61576
OG0001549	Solyc01T004294.1, Solyc11T002419.1	CDY51679, CDY28936, CDX75470
OG0001551	Solyc02T002404.1	CDX95935, CDY40924, CDY37544, CDY43268, CDX74284, CDX91963
OG0001552	Solyc08T001312.1, Solyc10T000506.1, Solyc10T000508.1, Solyc05T002114.1	CDY11363, CDY43938, CDX89123, CDY52010
OG0001553	Solyc08T000001.1	CDY16440, CDY58676
OG0001553	Solyc04T000214.1	CDY48807, CDY09427
OG0001554	Solyc07T002029.1	CDY34001, CDX83136
OG0001554	Solyc01T003665.1	CDX96045, CDY68946, CDX81477
OG0001555	Solyc04T000541.1, Solyc11T000565.1, Solyc04T000231.1, Solyc01T000014.1	CDY39248, CDY07483, CDY50321, CDY65468
OG0001556	Solyc07T002531.1, Solyc02T001611.1	CDY67143, CDY43829, CDY43042, CDY64204, CDY63833, CDY14280, CDX97382
OG0001557	Solyc12T000243.1	CDX92511, CDY58974
OG0001558	Solyc03T001802.1, Solyc06T000629.1	CDX99914, CDY00480, CDY00479, CDX99916, CDY46939, CDX91587, CDY38867, CDY64024
OG0001559	Solyc12T000075.1	CDY49521, CDY71455, CDY46848, CDY48213, CDY49519, CDY46846, CDY10036, CDY59799, CDY59798, CDY10035, CDX86578, CDY15539
OG0001561	Solyc10T000136.1, Solyc07T001952.1, Solyc12T000082.1, Solyc05T001972.1, Solyc07T002591.1	CDY19867, CDY17277
OG0001562	Solyc04T002297.1	CDX73353, CDY37093
OG0001562	Solyc04T001858.1	CDY14530, CDY08828, CDY33992, CDY71429
OG0001563	Solyc12T000231.1, Solyc03T003340.1	CDY06836, CDY35250, CDY14220, CDX97478
OG0001564	Solyc01T001403.1	CDY14644
OG0001564	Solyc01T001405.1, Solyc01T001406.1	CDY08302, CDY08301, CDY06480, CDY23528, CDY48381, CDY48380, CDY23529
OG0001565	Solyc12T002793.1, Solyc11T001965.1	CDY13998, CDX88891, CDX69686
OG0001565	Solyc05T000230.1	CDY28580, CDY44086
OG0001566	Solyc06T001317.1, Solyc08T002189.1	CDX82953, CDX79165, CDX98760, CDX94103
OG0001566	Solyc03T001813.2	CDY66417, CDY56658
OG0001568	Solyc08T000336.1, Solyc08T000337.1, Solyc08T002465.1	CDY10969, CDX94221, CDY03518, CDY47621, CDY25271, CDY65042
OG0001569	Solyc01T002517.1	CDY11474, CDX76698
OG0001569	Solyc10T002381.1, Solyc04T000722.1	CDY14777, CDY06917, CDY22528, CDY35410
OG0001570	Solyc03T000910.1	CDX69492, CDY26471
OG0001571	Solyc07T001527.1	CDX84243, CDX84325, CDY17237, CDX84650, CDX79558
OG0001573	Solyc01T000342.1, Solyc10T002539.1	CDY50662, CDX74207, CDX92051, CDX70785, CDX78767, CDY25477, CDY38470, CDX85436, CDY02674
OG0001574	Solyc04T000076.1, Solyc01T000480.1, Solyc01T000478.1, Solyc07T001224.1, Solyc07T001223.1, Solyc05T000226.1	CDX85559, CDX91003
OG0001575	Solyc10T000433.3, Solyc02T001602.3	CDX71638, CDY23671, CDX84970, CDY52220, CDY03814, CDY12891, CDY40958, CDY19346, CDX97937, CDY20982, CDY20585
OG0001576	Solyc04T000110.1, Solyc05T000505.1, Solyc03T003278.1, Solyc06T001858.1	CDX92247, CDX99346, CDY18526, CDX95516, CDY62848, CDY51171, CDX77268, CDY71208
OG0001578	Solyc07T000418.1, Solyc08T000102.1, Solyc08T001700.1	CDY28257, CDX68735, CDY13424, CDX72304, CDY20313, CDY46149, CDY34774, CDY33685, CDY67576
OG0001579	Solyc06T000901.1, Solyc05T002354.1	CDY14118, CDY04948, CDX98835, CDX70158
OG0001580	Solyc06T000931.1	CDX98838, CDX70156
OG0001581	Solyc05T000763.1	CDY40259, CDY42125, CDY20568
OG0001581	Solyc03T002851.1	CDY19995
OG0001582	Solyc04T001619.2, Solyc04T002094.1, Solyc01T003689.1	CDY33672, CDX96601, CDY01332, CDY71883, CDY29473, CDY04601, CDX87566, CDX88318, CDY20388, CDY45946
OG0001583	Solyc05T000761.1	CDY50790, CDX99790, CDX90170, CDY43320
OG0001584	Solyc10T001253.1, Solyc01T003709.1	CDY35825, CDX97115, CDX69892, CDY21595, CDY01780, CDY18705, CDX81229, CDY51290, CDY56487, CDY31313, CDY46812
OG0001585	Solyc10T001377.1, Solyc01T003864.1, Solyc04T002538.1, Solyc02T002721.3	CDY18673, CDX81297, CDY51980, CDY08746
OG0001586	Solyc04T002219.1	CDY12619, CDY32287, CDY42344, CDY32288, CDY12620, CDY32289, CDY46034, CDY46035
OG0001588	Solyc07T000341.2, Solyc08T001811.2	CDY01588, CDY09282, CDX76485, CDX98609, CDX99388, CDX78930, CDY05197
OG0001589	Solyc02T000751.2, Solyc03T000627.1, Solyc04T002149.1, Solyc02T002125.2	CDY25159, CDY46301
OG0001591	Solyc05T000694.1, Solyc04T000048.1, Solyc01T000460.1	CDY04154, CDY45558, CDY51215, CDY02989, CDY53946, CDY37197
OG0001592	Solyc10T000848.1, Solyc01T000952.1, Solyc04T000869.1, Solyc03T001090.1	CDY20229, CDY19666, CDY19655, CDX71648, CDY63595, CDX95221
OG0001593	Solyc03T002769.1	CDX98123, CDY36404, CDY68665, CDY16102, CDY49134, CDY42443, CDY42441, CDY42442, CDX73053, CDX96516
OG0001594	Solyc04T002380.1, Solyc04T002379.1, Solyc11T000421.1	CDX81281, CDY54720, CDX69835, CDX97005, CDX69836
OG0001595	Solyc02T002052.1	CDX69209
OG0001595	Solyc10T000002.1	CDY72666
OG0001596	Solyc03T003196.1	CDX73000, CDY60131, CDY11097, CDX68217, CDX82057, CDY47743
OG0001597	Solyc03T000245.2	CDX97401, CDY14265, CDX89218, CDY60127
OG0001597	Solyc01T002922.1	CDX80007, CDY42033
OG0001598	Solyc08T001555.1	CDY23718, CDY37702
OG0001598	Solyc02T000632.2, Solyc02T001910.1	CDY30363, CDY26810, CDY20802, CDY24339
OG0001599	Solyc01T002179.1	CDX85113, CDX77497
OG0001599	Solyc06T000274.1	CDY18112
OG0001599	Solyc09T001899.1	CDY57714
OG0001600	Solyc03T001712.2, Solyc06T001056.1	CDX80433, CDX88095, CDY70532, CDY68513, CDY49166, CDY14377, CDY35661, CDY47074, CDY38748
OG0001601	Solyc01T004375.1, Solyc08T002018.1	CDY43625, CDY37160
OG0001602	Solyc10T000842.1, Solyc11T001076.1	CDY03033
OG0001602	Solyc08T000923.1, Solyc10T000843.1	CDY21194, CDX95225, CDY19659
OG0001603	Solyc03T000024.2, Solyc09T001904.1, Solyc09T002419.1	CDY16260, CDX92964, CDY69279, CDY10679
OG0001604	Solyc03T002888.1, Solyc06T001926.1	CDX95030
OG0001604	Solyc10T002537.1	CDY32135, CDY31125, CDX95031, CDX93535
OG0001605	Solyc03T001441.1, Solyc03T001479.1	CDX85556, CDX91000
OG0001606	Solyc06T002555.1	CDY09208, CDY57394, CDY01976, CDY11459, CDY18299, CDY59512, CDY32698, CDY60016, CDY32981, CDY09207
OG0001607	Solyc07T002656.1, Solyc12T000702.1, Solyc10T000110.1	CDY29816, CDY25408
OG0001608	Solyc03T000552.2, Solyc02T000683.2, Solyc02T001973.2	CDY20808
OG0001608	Solyc06T002502.3	CDY06701, CDY10270
OG0001609	Solyc08T000094.1	CDY21033, CDY31240, CDY53347, CDY64848, CDY32208
OG0001609	Solyc08T002178.1	CDY16710, CDX94516, CDY21276, CDX90837
OG0001610	Solyc01T002752.1, Solyc01T002322.1, Solyc03T002038.1	CDX80081, CDY37786
OG0001612	Solyc03T003254.1, Solyc06T001844.1, Solyc12T001569.1, Solyc04T000131.1, Solyc05T000460.1	CDY19372, CDX97990, CDY50175, CDY21094, CDX83565, CDX99751, CDY40976, CDY13594
OG0001617	Solyc01T003596.1, Solyc10T001052.1, Solyc10T002094.1	CDY20591, CDY20975, CDY54579, CDY33318, CDY54581, CDY44833, CDY12877, CDY46194, CDY19334, CDX97925, CDY03773
OG0001618	Solyc04T000434.1, Solyc04T000433.1, Solyc05T002631.1	CDY60110, CDY53595, CDY07017, CDX93254, CDX93253, CDY07018, CDX93252
OG0001619	Solyc06T001273.1, Solyc11T000006.1	CDX87522, CDX88364, CDX88365
OG0001638	Solyc06T001323.1, Solyc08T002203.2, Solyc08T002204.1, Solyc08T002177.1, Solyc08T002172.1	CDX83396, CDY27391, CDX95635
OG0001639	Solyc12T002742.1	CDX93634, CDY20929, CDY35000, CDY39016, CDX82376
OG0001641	Solyc06T000875.1, Solyc05T002001.1, Solyc10T001951.1, Solyc04T000724.1, Solyc09T001788.1, Solyc09T000841.1, Solyc12T001954.1, Solyc10T001182.1, Solyc05T001222.1, Solyc05T001500.1, Solyc11T001834.1, Solyc05T001130.1, Solyc12T001381.1, Solyc01T001253.1	CDY27551, CDX94420, CDX91274
OG0001644	Solyc08T001242.1, Solyc08T000963.1, Solyc08T001244.1	CDX74680
OG0001645	Solyc05T000976.1, Solyc08T001254.1, Solyc09T001668.1, Solyc09T001427.1, Solyc09T002046.1, Solyc09T001424.1, Solyc11T001097.1, Solyc09T001671.1, Solyc09T001458.1, Solyc08T001261.1, Solyc09T001667.1, Solyc09T001434.1, Solyc06T000039.1, Solyc04T001003.1, Solyc09T001460.1, Solyc11T001099.1, Solyc09T001681.1	CDY12074
OG0001661	Solyc10T000009.2	CDX82599, CDY64825, CDY61862, CDX80750, CDY64827, CDY64826, CDX82597, CDX90004, CDY15205
OG0001662	Solyc10T002859.1, Solyc09T000281.1	CDX73580, CDX78145
OG0001662	Solyc11T002123.1, Solyc06T002327.1	CDX92332, CDY26961
OG0001664	Solyc10T002610.1, Solyc09T000423.1	CDY01034, CDY08514, CDY62471, CDX73869, CDY00740
OG0001665	Solyc09T000111.1	CDY46767, CDY63499, CDX79727, CDY18459, CDY55438, CDY70087
OG0001666	Solyc06T002731.1, Solyc09T002014.1	CDY07697, CDY07535, CDX67603
OG0001666	Solyc12T000190.1	CDY21851
OG0001667	Solyc08T002400.1, Solyc01T002875.1, Solyc06T000541.1, Solyc05T002102.1	CDY48913, CDY65355
OG0001668	Solyc10T002579.1, Solyc01T000192.1	CDY01043, CDY08506, CDY40419, CDY32068, CDY29084, CDY69198, CDY68967, CDX90600, CDY72430, CDX95339
OG0001669	Solyc09T001778.1, Solyc06T002677.1, Solyc02T001142.1, Solyc09T002687.1	CDX86608, CDX84731
OG0001670	Solyc09T000385.1	CDY17113, CDX70277, CDY41427, CDY69711, CDX80897, CDY11278, CDY60165, CDY00905, CDY22216
OG0001671	Solyc09T002668.1	CDY15517
OG0001671	Solyc06T002680.1, Solyc09T001810.1	CDY05305, CDY33938, CDY05655
OG0001672	Solyc03T001361.1, Solyc10T001519.1, Solyc10T002291.1	CDY42133, CDY08447, CDY50568, CDY52622, CDY00758, CDX73833
OG0001672	Solyc01T002394.1	CDY54519
OG0001674	Solyc08T002327.1	CDY49191, CDY47345, CDY49885, CDY45375
OG0001675	Solyc10T000934.1, Solyc10T002694.1, Solyc08T001362.1	CDY36448, CDY36439, CDY23300, CDY67280, CDY68019
OG0001676	Solyc06T002396.1	CDY22717, CDY06282
OG0001676	Solyc10T002886.1, Solyc09T000110.1	CDY10423, CDY55687
OG0001678	Solyc09T001874.1	CDY35204, CDY38373
OG0001678	Solyc04T001471.1	CDX97498, CDY31136
OG0001679	Solyc01T003187.1	CDY17553, CDY48379, CDY41737, CDY64215
OG0001680	Solyc03T001627.1	CDX89237, CDY19053, CDY46788, CDY43054, CDY43841, CDY14335, CDY28794, CDY41775
OG0001683	Solyc01T002858.1	CDX83383, CDX95673
OG0001685	Solyc11T000212.1	CDY66568, CDY00894, CDX80880, CDY44377, CDY04891
OG0001687	Solyc09T000169.1, Solyc06T000483.1	CDY31533, CDY67417, CDY09194
OG0001688	Solyc09T000339.1, Solyc11T002200.1	CDX73609, CDX78120, CDX95368, CDY23232
OG0001689	Solyc08T002071.3	CDY44353, CDY62893, CDY10391, CDY11246, CDX80859, CDX70316, CDY41584, CDY44732
OG0001690	Solyc03T002454.1	CDX86321, CDX85318, CDY43301, CDX94822, CDY65785, CDY00860, CDY00859, CDY17450, CDY66247, CDY15081
OG0001691	Solyc08T000453.1, Solyc12T000943.1, Solyc06T002621.1, Solyc09T001086.1	CDY52291, CDY15092
OG0001692	Solyc01T002801.2, Solyc01T002802.1	CDX74746, CDY71616, CDY18916, CDY53881, CDY18924, CDY60682, CDY53882
OG0001694	Solyc12T002668.1, Solyc09T000439.1	CDY18444, CDX93378, CDX91365, CDX74958, CDX79734, CDY07788, CDX79735
OG0001695	Solyc08T002458.1, Solyc10T000475.1, Solyc01T002932.1	CDY31415, CDX90031, CDY15178
OG0001696	Solyc09T000019.1	CDY68110, CDY32777, CDY20720, CDY41810, CDY41552, CDX80042, CDX80044, CDY41553, CDX80043, CDY47748
OG0001698	Solyc01T000144.1, Solyc10T002556.1	CDX79630, CDX84595, CDY32083, CDY40430, CDY23207, CDX95332, CDX78083, CDX73642
OG0001699	Solyc05T002070.1, Solyc10T000445.1, Solyc01T002993.1	CDX71698, CDY57871, CDY71495, CDX89135, CDY27309, CDY61720, CDX80036, CDY41546
OG0001700	Solyc04T001411.1, Solyc11T001917.1, Solyc08T000985.1	CDY17583
OG0001700	Solyc11T001916.1	CDY45509
OG0001701	Solyc11T002470.1	CDY44919, CDY42268
OG0001701	Solyc01T003033.1	CDX70004, CDX99011
OG0001702	Solyc04T002711.1, Solyc09T001193.1, Solyc11T001489.1	CDX84310, CDY17256, CDY43669
OG0001704	Solyc08T001766.1, Solyc01T002292.1	CDY09292, CDY26384, CDX87802, CDY39417, CDY48624, CDX76481
OG0001705	Solyc07T001415.1, Solyc08T001225.1, Solyc03T003489.1	CDX97534, CDY55213, CDY39086, CDY33260, CDY33081, CDY24062, CDY02475, CDY10614, CDY02474
OG0001707	Solyc11T000745.2	CDY31180, CDX83269, CDY04502
OG0001709	Solyc06T001741.1, Solyc03T002949.1	CDY06591, CDY20772, CDY67493, CDY20154, CDY30114, CDX97708, CDY58465, CDX75846
OG0001711	Solyc12T000503.1, Solyc06T001446.1, Solyc03T000225.1, Solyc12T002617.1	CDX69408, CDY16966
OG0001712	Solyc01T003280.1, Solyc08T000100.1	CDX67903, CDY25117, CDX89148, CDX93962, CDX76661, CDY11447
OG0001713	Solyc01T004380.2	CDY12082, CDX90273
OG0001715	Solyc12T002033.1	CDX69914, CDY21573
OG0001716	Solyc08T001294.1, Solyc08T001295.2	CDY40423, CDY24982, CDX90241
OG0001718	Solyc08T000552.1, Solyc12T002599.1	CDY38503, CDY54053, CDY51237, CDX70805, CDY42903
OG0001719	Solyc09T002033.1, Solyc03T000036.1	CDY64844, CDX85800, CDY64845, CDY46811, CDY31314, CDY18706, CDX81228, CDY56489, CDY51292
OG0001720	Solyc09T001586.1	CDY24640, CDY39557, CDY24639
OG0001721	Solyc03T002345.1, Solyc08T001399.1	CDX82802, CDY38303, CDY48965, CDY46408
OG0001721	Solyc08T001400.1	CDY10288, CDY46407, CDY70712
OG0001723	Solyc09T002388.1, Solyc03T002236.1, Solyc06T002098.2	CDX76296, CDX75453, CDX69078, CDY50760, CDY41904
OG0001724	Solyc06T001733.1	CDY50785
OG0001724	Solyc01T003065.1	CDX86203
OG0001725	Solyc04T001920.2, Solyc05T002694.1, Solyc09T002864.2	CDY06183, CDY10006
OG0001726	Solyc10T001479.1, Solyc01T003905.1, Solyc03T000761.1, Solyc02T002768.2	CDX81462, CDY37223, CDY50369
OG0001728	Solyc01T003296.1, Solyc08T000957.1	CDY40714, CDX74142, CDY27761, CDY05176, CDY18801, CDY18782
OG0001730	Solyc04T001378.1, PRAM_37001.1.p1	CDY07659, CDY24971, CDX93276, CDY06996, CDX77586, CDX67621, CDY07505, CDX73415, CDY51439, CDY02903, CDX76125
OG0001731	Solyc06T001711.1, Solyc03T003287.1	CDY39663, CDY36572, CDX81720, CDY68965, CDY38661, CDY37589, CDY39986, CDX87302
OG0001732	Solyc10T001250.1	CDY39955, CDX87331, CDY53220, CDY66129, CDX67958, CDX79362
OG0001733	Solyc08T000097.1	CDX96055, CDY04197, CDY07406, CDY12683, CDY68725, CDY12088, CDX90281, CDY14443
OG0001736	Solyc08T001556.1	CDX75258, CDX68865, CDY23333, CDY51672
OG0001736	Solyc12T000200.1	CDY38666, CDY37594
OG0001737	Solyc11T001849.1	CDY68782, CDY06387, CDY19597, CDY57915, CDY29623, CDY35571, CDY72251, CDY72154
OG0001738	Solyc01T004344.2, Solyc10T001965.1	CDX96645, CDY54328, CDY29363, CDY51327, CDY31899, CDY01384, CDX73218, CDX87646
OG0001739	Solyc04T002590.1, Solyc12T002390.1	CDY22364, CDY25231, CDY30790
OG0001739	Solyc11T000687.1	CDY54475, CDY52415, CDY52414, CDX71197, CDY49382, CDX72437
OG0001740	Solyc07T000128.1	CDX72245, CDY39682, CDY65185
OG0001741	Solyc03T003413.1	CDY56916, CDY51451
OG0001741	Solyc08T001369.1	CDX97140, CDX97139, CDX97141, CDX69735
OG0001742	Solyc01T002329.1, Solyc01T000733.1	CDX98325, CDX67762, CDX89001, CDY00584, CDY49248, CDX71929
OG0001743	Solyc08T001858.1, Solyc01T002319.1, Solyc10T001161.1	CDY30462, CDY23425, CDX95597, CDX83433
OG0001745	Solyc08T001676.1	CDY24092, CDY45116
OG0001745	Solyc10T000254.1, Solyc07T002406.1	CDY40003, CDY35137
OG0001746	Solyc04T002809.5	CDY22383, CDX71516
OG0001746	Solyc02T002142.1	CDX81390, CDX81389, CDY18610, CDY45239, CDY30767
OG0001747	Solyc12T001055.1, Solyc10T000357.1, Solyc07T002143.1, Solyc12T000479.1	CDY48205, CDX90886, CDY48560, CDY21965
OG0001748	Solyc10T000046.1, Solyc02T001646.1, PRAM_21846.1.p1	CDY69920, CDY46379
OG0001749	Solyc01T000020.1	CDX91135, CDX85659, CDY09781, CDX69652, CDY06621, CDY20797, CDX70538, CDX78557
OG0001751	Solyc01T002416.1, Solyc01T000266.1	CDY29628, CDY65471, CDY03629, CDY66973, CDY01220
OG0001752	Solyc06T001403.1, Solyc03T003426.1	CDY52953, CDY46544, CDX87836, CDY43923, CDY48879, CDY32420, CDY56923, CDY51457, CDY69021, CDY37299
OG0001753	Solyc11T002452.1, Solyc06T002254.1, Solyc01T000354.1	CDY57485, CDY57791, CDY06313, CDY22684, CDX97481, CDY31148
OG0001754	Solyc06T002403.1, Solyc06T000023.2, Solyc11T002559.2, Solyc09T000076.1	CDX95126, CDX71059, CDX88738
OG0001755	Solyc08T001579.3	CDY05500, CDY54900
OG0001755	Solyc09T000247.1	CDX71021, CDX88777, CDY26969, CDY50333
OG0001756	Solyc12T000651.1, Solyc07T002068.1, Solyc12T000485.1, Solyc10T000392.1, Solyc03T000128.1	CDY30818
OG0001758	Solyc09T000272.1, Solyc10T002861.1	CDY11271, CDX80889, CDX76226, CDX95394
OG0001758	Solyc11T002128.1	CDY09169, CDY50286
OG0001759	Solyc08T000960.1	CDY51108, CDX85729
OG0001759	Solyc12T000380.1, Solyc01T000651.1, Solyc01T000674.1, Solyc07T000270.1	CDY47278, CDY10116
OG0001760	Solyc12T002579.1, Solyc08T000122.1	CDY36432, CDY23304, CDY60852, CDX68763, CDX72310, CDY13441, CDY20325, CDY45583
OG0001761	Solyc07T000245.1, Solyc03T003006.1	CDX79379, CDX67953, CDX67954, CDX79374
OG0001762	Solyc10T002215.1	CDX99359, CDY09329, CDX76472, CDY65933, CDY26395, CDY39416, CDX82583
OG0001763	Solyc04T001880.1, Solyc07T001774.1, Solyc07T001826.1, Solyc05T002003.1, Solyc05T002004.1, Solyc07T001963.3	CDY59800, CDY10037, CDY49518
OG0001764	Solyc02T001482.1, Solyc10T000386.2	CDY27925, CDY17214, CDY62768
OG0001764	Solyc12T000657.1	CDY32322, CDY20099
OG0001765	Solyc02T002804.1, Solyc07T001767.1, Solyc02T000860.1, Solyc02T000863.1, Solyc01T003925.1	CDY52419, CDY54470
OG0001766	Solyc12T000365.1, Solyc07T000331.1, Solyc08T001072.1	CDY35358, CDX76980
OG0001767	Solyc11T002306.2, Solyc06T000433.6, Solyc06T002368.1	CDY06292, CDY22707, CDY32814, CDY58827, CDX93601, CDX95104
OG0001768	Solyc04T000636.1, Solyc10T002411.1	CDY14791, CDY06902, CDX79907, CDY48768
OG0001769	Solyc03T003048.1, Solyc06T001779.2	CDX88560, CDX87360, CDY35066, CDY33356
OG0001770	Solyc07T002064.1, Solyc12T000486.1	CDY64520, CDX71000, CDX79872, CDY35379, CDY22561
OG0001772	Solyc02T002015.1	CDY22282, CDY25343
OG0001773	Solyc01T003338.1, Solyc06T002585.1	CDX80265
OG0001774	Solyc04T000089.1, Solyc05T000196.1, Solyc05T000195.1, Solyc03T002586.1	CDY38765, CDY11649
